Total_Rides,Start_Station,End_Station,Start_Station_Name,Start_Station_Lat,Start_Station_Lon,Start_Colonia,End_Station_Name,End_Station_Lat,End_Station_Lon,End_Colonia
144,36,66,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte,66 MAZATLAN-FRANCISCO MARQUEZ,19.411402,-99.178666,Hipodromo Condesa
144,68,68,68 TAMAULIPAS-MICHOACAN,19.411556,-99.17406,Condesa,68 TAMAULIPAS-MICHOACAN,19.411556,-99.17406,Condesa
144,36,50,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte,50 CUERNAVACA-VERACRUZ,19.416938000000002,-99.173648,Condesa
144,37,64,37 GUADALAJARA-PUEBLA,19.420419,-99.172676,Roma Norte,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo
144,18,13,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc,13 REFORMA-RIO MISSISSIPPI,19.42502,-99.17231,Cuauhtemoc
144,85,86,85 ROSAS MORENO-SULLIVAN,19.43425,-99.162508,San Rafael,86 SULLIVAN-INSURGENTES,19.432378,-99.159077,San Rafael
144,86,1,86 SULLIVAN-INSURGENTES,19.432378,-99.159077,San Rafael,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc
144,242,235,242 MIGUEL DE CERVANTES SAAVEDRA-PROL MOLIERE ,19.440344,-99.20105,Granada,235 CAMPOS ELISEOS-MOLIERE ,19.42933,-99.20218,Polanco
143,63,36,63 NUEVO LEON- LAREDO,19.413681,-99.171531,Condesa,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte
143,208,209,208 HESIODO-LAMARTINE ,19.434182,-99.189835,Polanco,209 SOLON-HORACIO ,19.435478,-99.20635899999999,Polanco
143,206,204,206 MOLIERE-HOMERO ,19.435798000000002,-99.201419,Polanco,204 TEMISTOCLES-HOMERO,19.435882,-99.19152,Polanco
142,54,64,54 PARQUE ESPAÑA-SONORA,19.416215,-99.170825,Condesa,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo
142,27,26,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,26 REFORMA-VERSALLES,19.432685,-99.154726,Juarez
142,59,84,59 POPOCATEPETL-AMSTERDAM,19.415121,-99.166661,Hipodromo,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo
141,64,64,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo
141,163,165,163 TOLUCA-BAJÍO,19.405245999999998,-99.15643100000001,Roma Sur,165 BAJÍO-EJE 2 PTE. MONTERREY,19.404268,-99.160503,Roma Sur
141,107,113,107 TOLSA-BALDERAS,19.427329,-99.149971,Centro,113 GENERAL PRIM-VERSALLES,19.430369,-99.15441899999999,Juarez
141,261,27,261 PASEO DE LA REFORMA - RÍO DE LA PLATA,19.42495,-99.17246,Juarez,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
140,6,35,6 RIO PANUCO-RIO SENA,19.430922,-99.16695899999999,Cuauhtemoc,35 LIVERPOOL-GENOVA,19.424674,-99.163292,Juarez
140,67,67,67 VICENTE SUAREZ-MICHOACAN,19.411797,-99.17588,Condesa,67 VICENTE SUAREZ-MICHOACAN,19.411797,-99.17588,Condesa
